Title,Description,Page,Book
Penetration Testing - Mindset,Balance between flexible/pragmatic (think outside the box) and thorough/methodical/careful.,7,1
Threat,An actor or agent that may want to or actually can cause harm to the target organization.,9,1
Vulnerability,A flaw in the environment that an attacker can use to cause damage.,9,1
Risk,Where threat and vulnerability overlap; a risk occurs when systems have a vulnerability that a given threat can attack.,9,1
Exploit,The vehicle by which the attacker uses a vulnerability to cause damage to the target system.,9,1
Penetration Testing - Job,Model the activities of real-world threats to discover vulnerabilities.,9,1
Ethical Hacking,Process of using computer attack techniques to find security flaws with the permission of the target owner and the goal of improving the target’s security.,11,1
White Hat Hacking,See Ethical Hacking.,11,1
Penetration Testing,Process of finding flaws in a target environment with the goal of penetrating systems; getting control of them and getting access to information (subset of ethical hacking).,12,1
Red Teaming,Using offensive tactics to help measure and improve the defense; detection; and response capabilities of a target organization.,13,1
Vulnerability Assessment,Focused on finding vulnerabilities; often without regard to actually exploiting them and getting in.,14,1
Security Assessment,See Vulnerability Assessment.,14,1
Security Audit,Measuring things against a fixed; predetermined; rigorous set of standards.,15,1
Audit,See Security Audit.,15,1
Penetration Testing – Why?,See how effective an organization security actually is in light of an actual attack.,17,1
Vulnerability – Addressing,.,18,1
Penetration Tests Types,.,20,1
Network Services Test,Finding target systems and their available network services on a given network.,20,1
Client-Side Test,Find and exploit vulnerabilities in client-side software.,20,1
Web Application Test,.,20,1
Social Engineering Test,Attempting to dupe a user into revealing sensitive information or performing actions.,20,1
Wireless Security Test,Find unauthorized wireless AP or authorized wireless AP with security weaknesses.,20,1
Remote Dial-Up War Dial,Look for modems in a target environment.,20,1
Physical Security Test,Look for flaws in the physical security practices of a target organization.,21,1
Dumpster Diving,See Physical Security Test.,21,1
Stolen Equipment Test,Trying to extract sensitive information from a stolen piece of equipment.,21,1
Cryptanalysis Attack,Bypassing or breaking the encryption OR evaluate the strength of DRM,21,1
DRM,Digital Rights Management. See Cryptanalysis Attack,21,1
Product Security Test,Look for flaws in software.,21,1
Attack Phases,.,22,1
Reconnaissance,Gather information about the target organization from publicly available sources.,22,1
Scanning,Finding openings in the target organization.,22,1
Exploitation,Exploit target systems to compromise them.,22,1
Covering the Tracks,Hide activities on a system.,22,1
Free Testing Methodologies,.,24,1
Open Source Security Testing Methodology Manual (OSSTMM),.,25,1
Penetration Test Execution Standard (PTES),.,26,1
NIST Technical Guide to Information Security Testing and Assessment,.,27,1
OWASP Testing Guide,.,28,1
Penetration Testing Framework,.,29,1
Software Toolbox,.,31,1
Free Software Tools,.,34,1
Processmon (sysinternals),Helpful in analyzing file system and registry interactions.,34,1
Exploit-DB,.,35,1
Security Focus BID,Website with information about various vulnerabilities with exploit for some of them.,35,1
SEEBUG,Website with information about various vulnerabilities with exploit for most of them.,35,1
Packetstorm Security,Archive of attack and defense tools (website).,35,1
Vulnerability Research Source,Website that publish information about vulnerabilities but do not distribute exploit code.,36,1
US-CERT,See Vulnerability Research Source.,36,1
Mitre CVE Repository,See Vulnerability Research Source.,36,1
HackerStorm,See Vulnerability Research Source.,36,1
Commercial Tools,.,37,1
Home-Made Tools,.,38,1
Testing Machine,Systems used by the penetration tester to evaluate the security of other machines.,39;41,1
Attack Machine,See Testing Machine.,39,1
Target Machine,Systems whose security stance is being evaluated.,39,1
Victim Machine,See Target Machine.,39,1
Penetration Testing – Lab,.,40,1
VMware Virtual Appliance Marketplace,Vast achive of Vms freely available for download.,40,1
Bridged Networking,In a VM context,42,1
Penetration Testing – Network Infrastructure,.,43-45,1
NAT,Causes problems for testers because it alters the source IP address of packets. See Network Infrastructure for Penetration Testing,44,1
Testing Machine – Hardening,.,46-48,1
File System Encryption,.,47,1
BitLocker (Windows),.,47,1
FileVault (macOS),.,47,1
Cryptographic File System (CFS),File system encryption solution.,47,1
TrueCrypt,.,47,1
VeraCrypt,.,47,1
Encrypting File System (EFS),Old Windows built-in file system encryption feature now considered insecure.,47,1
Secure File Deletion Tool,Overwrite files with alternating zeros and ones multiple times to make sure the file cannot be recovered.,48,1
Shred,See Secure File Deletion Tool.,48,1
Cipher,See Secure File Deletion Tool.,48,1
Command Prompts,.,53,1
Elevated Command Shell – Windows,Command prompt launched with administrator privileges.,54,1
Penetration Testing – Process,.,60,1
Permission Memo,Grant authorization for en employee to perform a penetration test on his employer’s assets. See also Penetration Testing Agreement,61,1
Get Out of Jail Free Card (GOOJFC),See Permission Memo.,61,1
Penetration Testing – Agreement,Addition to the permission memo that also include a limitation of liability agreement and a contract. See also Permission Memo,62,1
Law regarding penetration testing,.,63,1
Rules of Engagement,Focus on how the test will be conducted and not to cover all the details between the target organization and the tester.,65-75,1
Emergency Contact Information,In the context of the Rules of Engagement; to exchange between testing team and target organization prior a penetration test.,68,1
ZIP (encrypted),.,68,1
GnuPG,.,68,1
Debriefing Conference Call,In the context of the Rules of Engagement.,69,1
Unannounced Tests,Penetration test not announced to the people responsible for running the target infrastructure.,71,1
Shunning of Penetration Test,Interfering with the penetration test by blocking network access or other automatic or manual countermeasures.,72,1
Black Box Testing,Testing team is not given any information prior to the testing.,73,1
Crystal Box Testing,Allows testers to see inside the target environment before launching any scans.,73,1
Scoping,Determining what should be tested and what should not be tested. Also look at some types of testing that may or may not be in scope.,76-88,1
Scope Creep,A misunderstanding of what should be tested that leads the target organization to add more systems; target networks; target types of testing to the test.,78,1
Cloud (as target),.,81,1
AWS Penetration Testing Request Form,.,81,1
Cloud (as attack resources),.,82,1
Pwnie Express,Company that offers penetration testing systems preconfigured to ship to target so that they can easily grant remote access to penetration testers.,84,1
Denial of Service,.,86,1
Dangerous Checks/Exploits,Checks or exploits that could potentially crash a target service or system.,87,1
Report,Final report of a penetration test describing work done and findings.,91-92,1
Report – Format,.,93,1
Report – Executive Summary,.,94-95,1
Executive Summary,See Report – Executive Summary.,94-95,1
Report – Introduction,.,96,1
Report – Methodology,.,97,1
Report – Findings,.,98-100,1
Report – Recommendation,.,101-102,1
Report – Conclusion,.,103,1
Report – Appendices,.,104,1
Inventory of Targets,Inventory of discovered targets to build and use during a penetration test.,106,1
Dradis,Tool designed for collaborative recording and analysis among a group of pen testers; with auto report generation.,108,1
MagicTree,Tool designed to easier the maintaining of an inventory of targets during a penetration test.,108,1
EtherPad,Browser based collaboration tool.,109,1
Lair,Attack collaboration tool that can import data from a variety of scanning tools and allow multiple penetration testers to access data via their web browser.,109,1
Reconnaissance,Gather information about the target organization from publicly available sources.,111,1
Metadata,.,113-118,1
Metadata – Document Types,.,114,1
Metadata – Gathering Documents,.,115,1
Metadata – Analysis Tools,.,116,1
ExifTool,Structured metadata extraction and edition tool.,117,1
FOCA,Structured metadata extraction tool.,116,1
Metadata Extraction Tool by the National Library of New Zealand (NLNZ),Structured metadata extraction tool.,116,1
Strings,Tool to display all printable text from a given file.,118,1
Whois,Determine more information about a target domain name.,127,1
Internet Network Information Center (InterNIC),Whois front end.,127,1
Whois – CLI,.,129,1
Jwhois,See Whois – CLI.,129,1
Regional Internet Registries (RIR),Whois databases that store information about IP address block (CIDR) assignments.,131,1
ARIN,American Registry for Internet Numbers. See Regional Internet Registries (RIR),131-132,1
RIPE NCC,Reseaux IP Europeens Network Coordination. See Regional Internet Registries (RIR),131,1
APNIC,Asia Pacific Network Information Centre. See Regional Internet Registries (RIR),131,1
LACNIC,Latin American and Caribbean Internet Address Registry. See Regional Internet Registries (RIR),131,1
AfriNIC,Africa Regional Internet Registry. See Regional Internet Registries (RIR),131,1
Search Engines - OSINT,.,135-136,1
Monster.com,Job hunting search engine.,136,1
Social Networks – OSINT,.,137,1
LinkedIn,See Social Networks – OSINT.,137,1
DNS,.,139,1
NS,Nameserver record (DNS).,139,1
A,IPv4 address record (DNS).,139,1
AAAA,IPv6 address record (DNS).,139,1
HINFO,Host Information record (DNS).,139,1
MX,Mail Exchange record (DNS).,139,1
TXT,Text record (DNS).,139,1
CNAME,Canonical Name record (DNS).,139,1
SOA,Start of Authority record (DNS).,139,1
RP,Responsible Person record (DNS).,139,1
PTR,Pointer for inverse lookups records (DNS).,139,1
SRV,Service location records (DNS).,139,1
Nslookup,.,140-142,1
Zone Transfer,.,141,1
Recursive Lookup (DNS),Forward the request to another DNS server if the requesting DNS server does not have the answer in its cache.,142,1
DNS cache snooping,Investigating what a given target DNS server has cached.,142,1
Dig,.,143,1
Google Search Directives,Advanced Google search using directives such as: site; related; intitle; inurl and filetype.,146-148,1
Google Hacking Database (GHDB),Huge inventory of Google searches to find vulnerable systems.,149-150,1
Google Dork,See Google Hacking Database (GHDB).,149-150,1
Robots.txt,Tells well-behaved search engine crawlers to ignore certain directories or pages on the website.,150,1
FSDB,Foundstone Database; similar to Google Hacking Database.,151,1
SLDB,Bishop Fox company Google database; similar to Google Hacking Database.,151,1
BHDB,Bishop Fox company Bing database; similar to Google Hacking Database.,151,1
SearchDiggity,Windows GUI that ties together several other command line tools to use search engines to find vulnerable systems.,152,1
GoogleDiggity,See Search Diggity.,152,1
BingDiggity,See Search Diggity.,152,1
DLPDiggity,See Search Diggity.,152,1
MalwareDiggity,See Search Diggity.,152,1
Recon-ng,Framework that pulls together numerous different reconnaissance capabilities; all within a single interactive command interface.,155,1
Recon-ng – Module Groups,.,156,1
Recon-ng – Recon Modules,.,157,
Linux Filesystem,.,174,1
Locate,Linux command to find files based on a pre-built database.,179,1
Linux 101,.,167-207,1
Scanning – Goal,.,5,2
Scanning – Types,.,6,2
Network Sweeping,Identifies which addresses are in use.,6,2
Network Tracing,Discern the topology of the target network by drawing a network map.,6,2
Port Scanning,Discerns potential openings in target machines by looking for listening TCP and UDP ports.,6,2
OS Fingerprinting,Determine the target operating system type.,6,2
Version Scanning,Check which protocols they speak and the version of the service listening on a given port.,6,2
Vulnerability Scanning,Measure whether the target machine has any of thousands of potential vulnerabilities.,6;100-101,2
Scanning – Workflow,.,7,2
Scanning – Dealing with Large Scans,.,10-13,2
TCP Reset,Standard reply for closed TCP port.,12,2
ICMP Port Unreachable,Standard reply for closed UDP port.,12,2
ScanRand,Port scanner that allows for hyperfast TCP port scanning by separating the sending and receiving mechanisms.,13,2
Zmap,Port scanner that scans through large number of hosts on a single TCP port.,13,2
WinDump,tcpdump ported to Windows.,16,2
Tcpdump,Free; open source sniffer.,17-19,2
IPv4 Header,.,21,2
Time To Live (TTL),Indicates how many hops this packet can travel before it must be discarded.,21,2
IPv6 Header,.,22,2
Traceroute,Determine the addresses of routers between the scanning machine and a given target.,23,2
ICMP TTL Exceeded in Transit,Reply from the router dropping a packet because its TTL has reached 0.,23,2
Traceroute – Linux,.,24,2
Tracert – Windows,.,26,2
Traceroute – Web Based,.,27,2
TCP,Transmission Control Protocol (TCP),28,2
UDP,User Datagram Protocol (UDP),28,2
TCP Header,.,29,2
TCP Control Bits,.,30,2
Congestion Window Reduced (CWR),TCP control bit regarding network congestion.,30,2
Explicit Congestion Notification Echo (ECE),TCP control bit regarding network congestion.,30,2
TCP – 3-way handshake,.,31,2
Scanning – TCP,TCP behavior while port scanning.,33-34,2
UDP Header,.,36,2
Scanning – UDP,UDP behavior while port scanning,38-39,2
Nmap,The most popular port scanner in the world.,41,2
Nmap – packet-trace,.,42,2
Nmap – Runtime Interaction,.,43,2
Nmap – Timing,.,44-45,2
Nmap – Output,.,46,2
Nmap – Probing,.,47-49,2
Nmap – nmap-services,File listing all known Nmap services; used to determine the top used ports.,50,2
Nmap – TCP Scan,.,51-53,2
Nmap – Custom TCP Control Bits,.,54,2
Nmap – scanflags,.,54,2
Nmap – UDP Scan,.,55,2
Nmap – badsum,Generate packets with an invalid TCP or UDP checksum (firewall spotting).,56,2
Firewall Spotting,Scanning technique to spot firewall responses using invalid TCP or UDP checksum.,56,2
Nmap – IPv6,.,57,2
Network Sweeping (IPv6),Identifies which IPv6 addresses are in use.,58,2
Neighbor Discovery (IPv6),Send a message to the multicast address of a local subnet looking for neighbors.,58,2
Nmap – targets-ipv6-multicast-echo,.,58,2
Nmap – Active OS Fingerprinting,.,66-67,2
Passive OS Fingerprinting,Determine OS of target by listening their network traffic.,66,2
P0f2,Passive OS fingerprinting free tool.,66,2
/etc/services,File included in most UNIX systems which lists common ports.,68,2
IANA Port Assignments,Official port assignment list maintainer.,68,2
Nmap – Version Scanning,.,69,2
Nmap – version-trace,.,69,2
Nmap – Auto (-A),-A = -O + -sV + -sC + --traceroute,69,2
Nmap – nmap-service-probes,File listing more than 1000 service signatures; used during version scanning.,69,2
Scapy,Packet crafting; manipulation and analysis suite written in Python.,77,2
Scapy – sprintf,Feature to format output of packets.,83,2
Scapy – TCP Control Bits,.,85,2
Hping,Packet crafting tool.,91,2
Nmap Scripting Engine (NSE),Extend the capabilities of Nmap with LUA scripts.,104-105,2
Lua,Fast; flexible and free scripting language.,105,2
Nmap Scripting Engine (NSE) – Categories,.,106-107,2
Nessus,Commercial vulnerability scanner.,115,2
Nessusd,Nessus vulnerability scanner daemon (server).,116,2
OpenVAS,Free forked of the last open-source version of Nessus (version 2).,116,2
Nessus-fetch,Register your serial number with your given Nessus installation on Linux; Solaris and FreeBSD.,117,2
Nessus-update-plugins,Manually update Nessus plugins.,117,2
Nessus – Enable Safe Checks,Default configuration that does not include dangerous plugins.,119,2
NeXCSer,Script for merging multiple Nessus XML report files and converting them into a CSV file.,120,2
Nexpose,Commercial vulnerability scanner.,128,2
Metasploit Pro,GUI for metasploit; integration between scanning and exploitation; etc.,128,2
SAINT,One of the original vulnerability scanner.,128,2
BeyondTrust Retina Network Security Scanner,Commercial vulnerability scanner.,128,2
Core Impact,Commercial exploitation frameworks with limited vulnerability scanner features.,128,2
Netcat,.,130-131,2
Netcat – Port Scan,.,134,2
Netcat – Listener,.,135,2
Netcat – Monitor Services,Use netcat to build a small remote service monitoring tool.,136-137,2
Exploitation – Why?,.,6,3
Exploit – Categories,.,9,3
Service-Side Exploit,Exploit targeting a service that is listening on the network.,10,3
Client-Side Exploit,Exploit targeting a client application that fetches content from a server machine.,11,3
Microsoft Baseline Security Analyzer (MBSA),Free tool that generates high-quality reports indicating Microsoft software that is out of date.,15,3
Secunia’s Corporate Software Inspector,Tool that conducts detailed inventories and analysis of installed software.,15,3
Representative Sample,Machine that represents all other machines of a target organization.,17,3
Local Privilege Escalation Exploit,.,18,3
SUID,Permission bit of a Linux binary that allows it to always run with the privilege of its owner.,19,3
Getsystem,Metasploit command of the priv module that runs through a series of local privilege escalation exploits.,19,3
Hashdump,Metasploit command of the priv module that collects local hashes from the SAM database.,19,3
Enlightenment Exploit Pack,Includes approximately a dozen different privilege escalation exploits for Linux.,19,3
Csrss.exe,Process that controls interactions within user mode.,19,3
Winlogon.exe,Process that logs user onto a machine.,19,3
Lsass.exe,Process that provides authorization checks.,19,3
Race Condition,Issue involving two different actions happening on a system in an indeterminate order with different results if one action finishes before the other.,19,3
Kernel Attacks,Type of local privilege escalation that targets the kernel.,19,3
Metasploit Framework,Free and open-source exploitation framework.,21,3
Metasploit Pro,Commercial version of the Metasploit Framework,21,3
Cobalt Strike,Commercial exploitation framework developed by Raphael Mudge.,21,3
Core IMPACT,Commercial exploitation framework developed by Core Security Technologies.,21,3
CANVAS,Commercial exploitation framework developed by Immunity.,21,3
Exploitation Framework,Environment in which exploits can be used to compromise targets and in which new exploits can be created.,21,3
Metasploit – File System,.,25,3
Msfpescan,Metasploit Framework Portable Executable scanning tool that looks through Windows EXE and DLL to find patterns that might be consistent with a given type of vulnerability.,25,3
Msfopcode,Provides an interface for looking up machine language opcodes.,25,3
Msfconsole,Metasploit console interface (main interface).,26,3
Msfd,Metasploit daemon listening on tcp/55554 (no authentication; no encryption).,26,3
Msfrpcd,Metasploit daemon listening on tcp/55553 awaiting control messages using XML over RPC (SSL available).,26,3
Armitage,Metasploit client that controls the framework over msfrpcd (XML over RPC).,26,3
Msfcli,Metasploit single-command interface.,26,3
Msfvenom,Generate Metasploit payloads in a range of different file formats.,26,3
Msfencode,Encode file or raw shell code to avoid signature-based AV.,26;67,3
Metasploit – Modules,.,27,3
NOP (sled),Machine instruction that tell a processor to do nothing.,27,3
Metasploit – Exploits,.,28,3
Metasploit – Windows Exploits,.,29,3
DCERPC,Microsoft Distributed Computing Environment Remote Procedure Call.,29,3
Psexec (msf),Always requires admin privileges on the remote machine.,29-30,3
OSVDB,Open Source Vulnerability Database (osvdb.org).,30,3
Bugtraq,Similar to OSVDB and CVE.,30,3
Metasploit – Payloads,.,31-34,3
Single,Stand-alone payload that include all their pieces in one module.,32,3
Stager,Stagers load the stage into the target machine and implement communications code.,33,3
Stage,Payload piece part that implement the functionality.,34,3
Metasploit – IPv6,.,33,3
Adduser,Msf single payload that creates an admin user account as backdoor.,32,3
Speak_pwned,Msf single payload that says “You got pwned!”,32,3
